,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
17,54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,20,19,0.025641024983563465,0.06270096452941967,11.7,0.4757834757834758,4.870313390313391,11.7,334,701,2.6607669616519174,6,7.0470756062767475
18,55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,11,0.11999999520000018,0.08012820487138396,12.714285714285714,0.4438202247191011,5.263242375601926,12.714285714285714,158,355,2.5,1,6.628169014084507
19,56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,14,-0.9999999285714337,0.09032258006243497,11.2,0.5059523809523809,4.682380952380952,11.2,85,168,2.65625,4,7.125
21,58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,58,39,0.19587628664045065,0.10813823845246573,13.4125,0.45666356011183595,5.547665424044735,13.4125,490,1067,2.571157495256167,9,6.670103092783505
22,59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,57,24,0.4074074023776864,0.09975369445843141,11.82716049382716,0.4488517745302714,4.910404907342973,11.82716049382716,430,950,2.521551724137931,12,6.814736842105263
23,60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,1,0,0.9999990000010001,0.01612903199791884,16.75,0.5671641791044776,6.926865671641791,16.75,38,67,2.462686567164179,0,7.014925373134329
24,61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,16,36,-0.3846153772189351,0.12235294088858131,11.181818181818182,0.4573170731707317,4.655654101995565,11.181818181818182,225,492,2.550724637681159,3,6.896341463414634
25,62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,3,1,0.49999987500003124,0.02409638539700973,15.333333333333334,0.3967391304347826,6.2920289855072475,15.333333333333334,73,184,2.420765027322404,0,6.434782608695652
26,63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,36,13,0.4693877455226991,0.15857605126674418,11.0,0.40771349862258954,4.563085399449036,11.0,148,361,2.2549019607843137,0,6.360110803324099
27,64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,4,7,-0.2727272479338866,0.10999999890000002,12.3,0.34959349593495936,5.059837398373984,12.3,43,123,2.3716814159292037,2,6.032520325203252
28,65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,61,35,0.2708333305121528,0.15973377677248957,179.75,0.4561891515994437,72.08247566063977,179.75,328,719,2.484375,11,6.563282336578581
29,66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,22,12,0.2941176384083048,0.09970674457564005,17.5,0.45194805194805193,7.180779220779221,17.5,174,385,2.505291005291005,0,6.955844155844156
30,67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,7,24,-0.5483870790842877,0.09538461509112427,10.823529411764707,0.44565217391304346,4.5076726342711,10.823529411764707,164,363,2.551622418879056,4,6.738292011019284
31,68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13,38,-0.49019606881968497,0.06049822056880401,13.470588235294118,0.47270742358078605,5.577318263549962,13.470588235294118,433,916,2.670630202140309,1,6.960698689956332
32,69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,3,0,0.9999996666667778,0.06666666518518523,11.2,0.4107142857142857,4.644285714285714,11.2,23,55,2.490566037735849,2,6.581818181818182
33,70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,52,36,0.18181817975206616,0.11398963715804451,10.636363636363637,0.44551282051282054,4.432750582750583,10.636363636363637,417,931,2.5394594594594593,9,6.822771213748657
34,71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,24,22,0.04347825992438566,0.13031161436172348,21.7,0.24193548387096775,8.776774193548388,21.7,105,434,2.012135922330097,41,5.481566820276497
35,72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,23,11,0.35294116608996573,0.10429447820768566,9.119047619047619,0.4621409921671018,3.8324754444858886,9.119047619047619,177,381,2.481283422459893,7,6.821522309711286
36,73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,50,22,0.38888888348765444,0.15894039700013157,7.597222222222222,0.3473491773308958,3.1778285598212475,7.597222222222222,190,542,2.2365988909426986,2,6.280442804428044
37,74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,23,54,-0.40259739736886496,0.08489525900232055,20.244897959183675,0.4122983870967742,8.262878538512181,20.244897959183675,409,992,2.674686192468619,2,6.998991935483871
38,75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,48,46,0.02127659551833409,0.1255006673891847,11.364864864864865,0.43638525564803804,4.720500048205161,11.364864864864865,367,837,2.445532435740514,2,6.583034647550776
39,76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,5,0,0.99999980000004,0.07352941068339103,9.125,0.6027397260273972,3.891095890410959,9.125,44,73,2.7945205479452055,1,7.726027397260274
40,77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,22,42,-0.31249999511718757,0.11367673159204844,9.35820895522388,0.5151515151515151,3.9493441881501585,9.35820895522388,323,627,2.5654281098546043,2,6.800637958532695
41,78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,0,3,-0.9999996666667778,0.03896103845505145,16.5,0.5353535353535354,6.814141414141415,16.5,53,99,2.5510204081632653,1,7.242424242424242
42,79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,33,10,0.5348837084910766,0.12463768079815166,9.871794871794872,0.5844155844155844,4.182484182484183,9.871794871794872,225,384,2.8518518518518516,0,7.46875
43,80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,23,0,0.999999956521741,0.11442786012722458,12.61111111111111,0.5550660792951542,5.266470876162506,12.61111111111111,126,227,2.831858407079646,0,7.405286343612334
44,81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,39,13,0.49999999038461557,0.06590621030937109,13.63076923076923,0.5056433408577878,5.654565028650808,13.63076923076923,448,883,2.6807780320366135,6,6.951302378255946
45,82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,0,0,0.0,0.0,4.0,0.75,1.9000000000000001,4.0,3,4,3.0,1,8.0
46,83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,68,31,0.3737373699622488,0.09801980188314871,14.493506493506494,0.5564516129032258,6.019983242563889,14.493506493506494,621,1116,2.77007299270073,1,7.369175627240144
47,84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,20,11,0.29032257127991706,0.10801393690587478,10.419354838709678,0.4613003095975232,4.352262059322881,10.419354838709678,149,323,2.4161290322580644,4,6.6191950464396285
48,85.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,5,14,-0.47368418559556913,0.21111110876543213,9.25,0.4864864864864865,3.8945945945945946,9.25,54,110,2.5315315315315314,2,7.181818181818182
49,86.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,13,26,-0.33333332478632505,0.08705357123425542,10.27450980392157,0.49236641221374045,4.306750486454124,10.27450980392157,258,522,2.5900383141762453,0,7.162835249042145
50,87.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,5,9,-0.2857142653061239,0.13461538332100592,8.333333333333334,0.576,3.563733333333334,8.333333333333334,72,125,2.784,5,7.272
51,88.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,23,69,-0.4999999945652175,0.13751868439832782,13.140350877192983,0.5020026702269693,5.456941418967982,13.140350877192983,376,744,2.5482993197278914,2,6.887096774193548
52,89.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,33,21,0.22222221810699597,0.08047690002909554,12.109375,0.40903225806451615,5.007362903225807,12.109375,317,772,2.413793103448276,16,6.496113989637306
53,90.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,32,44,-0.15789473476454297,0.16777041905569445,7.929577464788732,0.34458259325044405,3.3096640232156704,7.929577464788732,194,555,2.255357142857143,6,6.072072072072072
54,91.0,https://insights.blackcoffer.com/human-rights-outlook/,17,0,0.999999941176474,0.04857142843265306,9.044444444444444,0.542997542997543,3.8349767949767952,9.044444444444444,221,405,2.6699751861042182,0,7.217283950617284
55,92.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,54,23,0.40259739736886496,0.11666666648989898,11.3,0.4778761061946903,4.7111504424778765,11.3,378,790,2.575796178343949,29,6.855696202531646
56,93.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,37,70,-0.30841121207092326,0.11655773407782381,12.25301204819277,0.5103244837758112,5.105334612787433,12.25301204819277,519,1016,2.665985699693565,0,6.942913385826771
57,94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,15,16,-0.032258063475546335,0.10367892941913402,13.142857142857142,0.4483695652173913,5.436490683229813,13.142857142857142,165,367,2.4157608695652173,7,6.697547683923705
58,95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,44,61,-0.16190476036281182,0.11462882083555806,10.876288659793815,0.4483412322274882,4.529851956808521,10.876288659793815,473,1048,2.444232602478551,1,6.759541984732825
59,96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,28,-0.2444444390123458,0.11597938114438304,13.0,0.4573804573804574,5.382952182952184,13.0,220,480,2.4444444444444446,4,6.55
60,97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,0,0,0.0,0.0,20.0,0.55,8.22,20.0,11,20,3.25,0,7.8
61,98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,5,35,-0.7499999812500006,0.0725952811749632,12.0,0.4744897959183674,4.9897959183673475,12.0,279,588,2.5585106382978724,0,7.04421768707483
62,99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,20,29,-0.18367346563931702,0.10187110165931164,12.409090909090908,0.34798534798534797,5.102830502830503,12.409090909090908,190,545,2.211026615969582,0,6.2146788990825685
63,100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,5,15,-0.4999999750000012,0.10362694246825419,16.785714285714285,0.41702127659574467,6.881094224924012,16.785714285714285,98,233,2.420353982300885,2,6.527896995708154
64,101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,29,26,0.05454545355371903,0.11982570779994399,12.69767441860465,0.41208791208791207,5.243904932277026,12.69767441860465,225,540,2.449248120300752,3,6.662962962962963
65,102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,33,42,-0.11999999840000003,0.15957446774558623,8.861538461538462,0.4548611111111111,3.726559829059829,8.861538461538462,262,571,2.4773519163763065,18,6.626970227670753
66,103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,24,4,0.7142856887755111,0.07777777756172839,12.714285714285714,0.4449438202247191,5.263691813804173,12.714285714285714,198,443,2.3755760368663594,1,6.465011286681715
67,104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,35,20,0.2727272677685951,0.09401709385638103,12.24074074074074,0.5552193645990923,5.118384042135933,12.24074074074074,367,658,2.790909090909091,6,7.503039513677812
68,105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,5,24,-0.655172391200952,0.10104529581517319,10.125,0.4506172839506173,4.230246913580247,10.125,146,323,2.440625,0,6.820433436532507
69,106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,51,30,0.25925925605852773,0.1361344535527152,10.772727272727273,0.4360056258790436,4.483493159442527,10.772727272727273,310,706,2.4377682403433476,6,6.5339943342776206
70,107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,40,78,-0.32203389557598394,0.1354764636791315,13.038461538461538,0.4631268436578171,5.400635352847742,13.038461538461538,471,1015,2.508559919436052,7,6.7467980295566505
71,108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0,1,-0.9999990000010001,0.24999993750001562,4.0,0.5,1.8,4.0,2,4,3.0,0,7.5
72,109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,32,40,-0.11111110956790125,0.09461235204387339,10.9375,0.4857142857142857,4.569285714285715,10.9375,425,870,2.555944055944056,10,6.906896551724138
73,110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,14,7,0.3333333174603182,0.1693548373439126,7.0,0.4968944099378882,2.9987577639751555,7.0,80,158,2.7080745341614905,0,7.1835443037974684
74,111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,6,5,0.09090908264462885,0.10576922975221895,12.545454545454545,0.3188405797101449,5.145718050065876,12.545454545454545,44,137,2.1470588235294117,5,5.868613138686132
75,112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,34,73,-0.3644859779020002,0.1765676564743108,12.218181818181819,0.47172619047619047,5.075963203463203,12.218181818181819,317,670,2.6088957055214723,5,7.0
76,113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,31,38,-0.10144927389203952,0.16428571389455782,8.907407407407407,0.4864864864864865,3.7575575575575573,8.907407407407407,234,479,2.584199584199584,6,7.025052192066806
77,114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,28,45,-0.23287670913867523,0.1382575754957243,10.362068965517242,0.4292845257903494,4.316541396523037,10.362068965517242,258,597,2.373083475298126,11,6.5293132328308205
78,115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,10,11,-0.04761904535147403,0.06382978704003105,11.558823529411764,0.48346055979643765,4.816913635683282,11.558823529411764,190,390,2.493606138107417,2,7.223076923076923
79,116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,57,20,0.4805194742789679,0.11544227868749284,10.395061728395062,0.42755344418052255,4.329046069030234,10.395061728395062,360,837,2.4969770253929866,17,6.487455197132617
80,117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,19,23,-0.0952380929705216,0.10687022873569917,9.425531914893616,0.5124153498871332,3.9751789059123,9.425531914893616,227,442,2.6376146788990824,2,7.570135746606335
81,118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,29,4,0.7575757346189171,0.07482993180310674,11.34,0.43738977072310403,4.710955908289242,11.34,248,565,2.4035714285714285,2,6.51858407079646
82,119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,13,21,-0.23529411072664383,0.10691823865748981,15.826086956521738,0.46153846153846156,6.5150501672240795,15.826086956521738,168,363,2.5845272206303727,3,6.7190082644628095
83,120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,21,7,0.49999998214285774,0.07310704941747506,12.823529411764707,0.4518348623853211,5.310145709660011,12.823529411764707,197,434,2.411764705882353,3,6.43778801843318
84,121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,41,21,0.32258063995837677,0.12252964402662125,11.568627450980392,0.4559322033898305,4.8098238617480895,11.568627450980392,269,586,2.4794520547945207,17,6.84641638225256
85,122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,40,22,0.29032257596253913,0.08769448361005024,12.485294117647058,0.4016489988221437,5.154777246587681,12.485294117647058,341,841,2.458181818181818,17,6.512485136741974
86,123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,3,1,0.49999987500003124,0.06557376941682345,10.571428571428571,0.40540540540540543,4.390733590733591,10.571428571428571,30,73,2.4507042253521125,2,6.342465753424658
87,124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,22,69,-0.5164835108078735,0.2327365722947914,7.25,0.4543610547667343,3.0817444219066936,7.25,224,487,2.457317073170732,11,6.628336755646817
88,125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,25,51,-0.34210525865650976,0.1428571425886144,12.520833333333334,0.4825291181364393,5.201344980587909,12.520833333333334,290,601,2.6067226890756303,2,7.078202995008319
89,126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,12,3,0.5999999600000027,0.06072874469340589,10.344827586206897,0.37333333333333335,4.287264367816092,10.344827586206897,112,297,2.3277027027027026,2,6.397306397306397
90,127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,5,6,-0.09090908264462885,0.04230769214497042,11.625,0.4731182795698925,4.8392473118279575,11.625,132,278,2.6328125,0,6.780575539568345
91,128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,65,35,0.299999997,0.11574074060678155,11.611764705882353,0.563323201621074,4.870035163001371,11.611764705882353,556,982,2.742857142857143,2,7.35030549898167
92,129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,21,63,-0.49999999404761913,0.22281167049652076,7.725806451612903,0.4509394572025052,3.2706983635261637,7.725806451612903,216,472,2.438155136268344,11,6.59957627118644
93,130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,34,64,-0.30612244585589343,0.1680960546001783,11.904761904761905,0.3586666666666667,4.905371428571429,11.904761904761905,269,743,2.2379032258064515,32,6.106325706594886
94,131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,18,17,0.028571427755102068,0.09615384588968724,16.85185185185185,0.45714285714285713,6.923597883597883,16.85185185185185,208,454,2.5253863134657837,10,6.7312775330396475
95,132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,46,85,-0.2977099213915273,0.10989932876686297,13.655913978494624,0.4519685039370079,5.643152992972653,13.655913978494624,574,1267,2.4503311258278146,5,6.712707182320442
96,133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,14,37,-0.45098038331411017,0.07750759866640182,11.370967741935484,0.47375886524822697,4.737890642873484,11.370967741935484,334,702,2.735338345864662,2,7.2905982905982905
97,134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,12,8,0.1999999900000005,0.09049773714706906,12.25,0.46938775510204084,5.087755102040816,12.25,115,244,2.716666666666667,1,6.995901639344262
98,135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,7,2,0.5555554938271674,0.12328766954400452,14.0,0.39285714285714285,5.757142857142857,14.0,33,84,2.4375,0,6.523809523809524
99,136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,28,34,-0.09677419198751304,0.09253731329472042,7.678571428571429,0.45348837209302323,3.252823920265781,7.678571428571429,390,850,2.513450292397661,3,6.8882352941176475
100,137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,18,5,0.5652173667296797,0.09126984090765937,5.660377358490566,0.44333333333333336,2.4414842767295597,5.660377358490566,133,291,2.508591065292096,0,6.762886597938144
101,138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,36,64,-0.2799999972,0.11376564264645547,14.397058823529411,0.4698672114402451,5.946770413987863,14.397058823529411,460,977,2.5523012552301254,7,7.0337768679631525
102,139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,23,44,-0.3134328311427936,0.14135021067225695,11.085106382978724,0.4836852207293666,4.627516641483236,11.085106382978724,252,520,2.5764023210831724,1,7.1038461538461535
103,140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,27,3,0.7999999733333342,0.11857707463013015,12.208333333333334,0.5699658703071673,5.111319681456201,12.208333333333334,167,290,2.7697594501718212,0,7.651724137931034
104,141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,76,26,0.4901960736255287,0.13350785322839287,14.081967213114755,0.4889406286379511,5.828363136701083,14.081967213114755,420,854,2.5700824499411072,0,7.057377049180328
105,142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,49,13,0.5806451519250783,0.07958921684263258,11.1625,0.47928331466965285,4.6567133258678615,11.1625,428,889,2.4897025171624714,4,6.804274465691789
106,143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,30,67,-0.3814432950366671,0.11520190010071034,10.0,0.446875,4.17875,10.0,429,957,2.468409586056645,10,6.5579937304075235
108,145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,20,25,-0.11111110864197538,0.08256880718794714,11.618181818181819,0.4569640062597809,4.830058329776641,11.618181818181819,292,636,2.4741935483870967,4,6.75314465408805
109,146.0,https://insights.blackcoffer.com/blockchain-for-payments/,25,46,-0.2957746437214839,0.08313817320475624,13.027027027027026,0.5321576763485477,5.42367388135023,13.027027027027026,513,963,2.7625,16,7.457943925233645
110,147.0,https://insights.blackcoffer.com/the-future-of-investing/,8,12,-0.1999999900000005,0.12499999921875,9.263157894736842,0.48295454545454547,3.898444976076555,9.263157894736842,85,176,2.740740740740741,1,7.301136363636363
111,148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,24,6,0.5999999800000007,0.20689655029726517,16.083333333333332,0.45077720207253885,6.613644214162349,16.083333333333332,87,191,2.538860103626943,8,6.523560209424084
112,149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,21,37,-0.2758620642092748,0.07169344861348152,12.48611111111111,0.4727474972191324,5.1835434433320975,12.48611111111111,425,899,2.570737605804111,2,6.6473859844271415
113,150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,32,8,0.5999999850000004,0.01971414488924882,8.647540983606557,0.38957345971563984,3.6148457773288794,8.647540983606557,822,2108,2.334723670490094,0,6.199715370018976
